"bound","drift","ter","sub","condition","difflevel","manip"
0.0828171290760622,0.170763437018582,0.344279684070819,"117","minus","easy","alpha"
0.0828171290760622,0.0568963425336982,0.344279684070819,"117","minus","hard","alpha"
0.0828171290760622,0.104852302622695,0.344279684070819,"117","minus","medium","alpha"
0.0828171290760622,0.170763437018582,0.344279684070819,"117","plus","easy","alpha"
0.0828171290760622,0.0568963425336982,0.344279684070819,"117","plus","hard","alpha"
0.0828171290760622,0.104852302622695,0.344279684070819,"117","plus","medium","alpha"
0.0591665941466145,0.183829904006304,0.399288428657369,"118","minus","easy","alpha"
0.0591665941466145,0.0353181550515606,0.399288428657369,"118","minus","hard","alpha"
0.0591665941466145,0.0910572875201444,0.399288428657369,"118","minus","medium","alpha"
0.0591665941466145,0.183829904006304,0.399288428657369,"118","plus","easy","alpha"
0.0591665941466145,0.0353181550515606,0.399288428657369,"118","plus","hard","alpha"
0.0591665941466145,0.0910572875201444,0.399288428657369,"118","plus","medium","alpha"
0.067699534360066,0.100903009374423,0.298152325815616,"120","minus","easy","alpha"
0.067699534360066,0.0385318370793392,0.298152325815616,"120","minus","hard","alpha"
0.067699534360066,0.0689934715885432,0.298152325815616,"120","minus","medium","alpha"
0.067699534360066,0.100903009374423,0.298152325815616,"120","plus","easy","alpha"
0.067699534360066,0.0385318370793392,0.298152325815616,"120","plus","hard","alpha"
0.067699534360066,0.0689934715885432,0.298152325815616,"120","plus","medium","alpha"
0.0771639111384833,0.137741044543623,0.291985968105229,"121","minus","easy","alpha"
0.0771639111384833,0.0501125217542788,0.291985968105229,"121","minus","hard","alpha"
0.0771639111384833,0.0862669211645756,0.291985968105229,"121","minus","medium","alpha"
0.0771639111384833,0.137741044543623,0.291985968105229,"121","plus","easy","alpha"
0.0771639111384833,0.0501125217542788,0.291985968105229,"121","plus","hard","alpha"
0.0771639111384833,0.0862669211645756,0.291985968105229,"121","plus","medium","alpha"
0.101334210978657,0.137260391850932,0.414365201369211,"122","minus","easy","alpha"
0.101334210978657,0.0592703643590211,0.414365201369211,"122","minus","hard","alpha"
0.101334210978657,0.100207348516486,0.414365201369211,"122","minus","medium","alpha"
0.101334210978657,0.137260391850932,0.414365201369211,"122","plus","easy","alpha"
0.101334210978657,0.0592703643590211,0.414365201369211,"122","plus","hard","alpha"
0.101334210978657,0.100207348516486,0.414365201369211,"122","plus","medium","alpha"
0.0827119534264203,0.162238283117959,0.354537767401575,"123","minus","easy","alpha"
0.0827119534264203,0.080840867018491,0.354537767401575,"123","minus","hard","alpha"
0.0827119534264203,0.134261374756652,0.354537767401575,"123","minus","medium","alpha"
0.0827119534264203,0.162238283117959,0.354537767401575,"123","plus","easy","alpha"
0.0827119534264203,0.080840867018491,0.354537767401575,"123","plus","hard","alpha"
0.0827119534264203,0.134261374756652,0.354537767401575,"123","plus","medium","alpha"
0.0592572330244899,0.261648668104009,0.434477310252939,"124","minus","easy","alpha"
0.0592572330244899,0.115606868953175,0.434477310252939,"124","minus","hard","alpha"
0.0592572330244899,0.144869091816658,0.434477310252939,"124","minus","medium","alpha"
0.0592572330244899,0.261648668104009,0.434477310252939,"124","plus","easy","alpha"
0.0592572330244899,0.115606868953175,0.434477310252939,"124","plus","hard","alpha"
0.0592572330244899,0.144869091816658,0.434477310252939,"124","plus","medium","alpha"
0.0664967113425122,0.213640560616697,0.418399791789895,"125","minus","easy","alpha"
0.0664967113425122,0.0733993107458487,0.418399791789895,"125","minus","hard","alpha"
0.0664967113425122,0.150544785839969,0.418399791789895,"125","minus","medium","alpha"
0.0664967113425122,0.213640560616697,0.418399791789895,"125","plus","easy","alpha"
0.0664967113425122,0.0733993107458487,0.418399791789895,"125","plus","hard","alpha"
0.0664967113425122,0.150544785839969,0.418399791789895,"125","plus","medium","alpha"
0.0862254175786216,0.126987305695011,0.366551686670181,"126","minus","easy","alpha"
0.0862254175786216,0.0493539897766511,0.366551686670181,"126","minus","hard","alpha"
0.0862254175786216,0.107666818006288,0.366551686670181,"126","minus","medium","alpha"
0.0862254175786216,0.126987305695011,0.366551686670181,"126","plus","easy","alpha"
0.0862254175786216,0.0493539897766511,0.366551686670181,"126","plus","hard","alpha"
0.0862254175786216,0.107666818006288,0.366551686670181,"126","plus","medium","alpha"
0.079168846738252,0.222118049209035,0.537760555499455,"127","minus","easy","alpha"
0.079168846738252,0.117189994763173,0.537760555499455,"127","minus","hard","alpha"
0.079168846738252,0.187081386020244,0.537760555499455,"127","minus","medium","alpha"
0.079168846738252,0.222118049209035,0.537760555499455,"127","plus","easy","alpha"
0.079168846738252,0.117189994763173,0.537760555499455,"127","plus","hard","alpha"
0.079168846738252,0.187081386020244,0.537760555499455,"127","plus","medium","alpha"
0.0756723379906485,0.130837287388283,0.406296985800666,"128","minus","easy","alpha"
0.0756723379906485,0.0466025986871556,0.406296985800666,"128","minus","hard","alpha"
0.0756723379906485,0.10241180411726,0.406296985800666,"128","minus","medium","alpha"
0.0756723379906485,0.130837287388283,0.406296985800666,"128","plus","easy","alpha"
0.0756723379906485,0.0466025986871556,0.406296985800666,"128","plus","hard","alpha"
