"sub","condition","difflevel","cost_ldc","a0","b0","eta_a","eta_b","manip","model","Ndata_point","Npar","bic","best","bound","drift","ter","cost_ddm","z","vratio"
11,"minus","easy",0.00923884830781343,3.22418217204184,8.93217317107396,0,5.01227053031203,"beta","beta",753,3,-8495.35546731065,"alpha",0.0771845540582884,0.152573604438537,0.451732968307513,0.0014313448703499,0,1
11,"minus","easy",0.0090906848980538,0.720814404713897,8.21258518554796,3.56960188231752,0,"beta","alpha",753,3,-8507.52920641479,"alpha",0.0771845540582884,0.152573604438537,0.451732968307513,0.0014313448703499,0,1
11,"minus","hard",0.00940426610861069,3.06525435439667,10.5038872998788,0,0,"beta","no",753,2,-8488.61665012126,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"minus","hard",0.00908425214631795,1.37604993827641,9.0925795623514,3.56960188231752,5.01227053031203,"beta","both",753,4,-8501.43816776613,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"minus","hard",0.00923884830781343,3.22418217204184,8.93217317107396,0,5.01227053031203,"beta","beta",753,3,-8495.35546731065,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"minus","hard",0.0090906848980538,0.720814404713897,8.21258518554796,3.56960188231752,0,"beta","alpha",753,3,-8507.52920641479,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"minus","medium",0.00923884830781343,3.22418217204184,8.93217317107396,0,5.01227053031203,"beta","beta",753,3,-8495.35546731065,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"minus","medium",0.00940426610861069,3.06525435439667,10.5038872998788,0,0,"beta","no",753,2,-8488.61665012126,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"minus","medium",0.00908425214631795,1.37604993827641,9.0925795623514,3.56960188231752,5.01227053031203,"beta","both",753,4,-8501.43816776613,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"minus","medium",0.0090906848980538,0.720814404713897,8.21258518554796,3.56960188231752,0,"beta","alpha",753,3,-8507.52920641479,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"plus","easy",0.00908425214631795,1.37604993827641,9.0925795623514,3.56960188231752,5.01227053031203,"beta","both",753,4,-8501.43816776613,"alpha",0.0771845540582884,0.152573604438537,0.451732968307513,0.0014313448703499,0,1
11,"plus","easy",0.00940426610861069,3.06525435439667,10.5038872998788,0,0,"beta","no",753,2,-8488.61665012126,"alpha",0.0771845540582884,0.152573604438537,0.451732968307513,0.0014313448703499,0,1
11,"plus","easy",0.0090906848980538,0.720814404713897,8.21258518554796,3.56960188231752,0,"beta","alpha",753,3,-8507.52920641479,"alpha",0.0771845540582884,0.152573604438537,0.451732968307513,0.0014313448703499,0,1
11,"plus","easy",0.00923884830781343,3.22418217204184,8.93217317107396,0,5.01227053031203,"beta","beta",753,3,-8495.35546731065,"alpha",0.0771845540582884,0.152573604438537,0.451732968307513,0.0014313448703499,0,1
11,"plus","hard",0.00908425214631795,1.37604993827641,9.0925795623514,3.56960188231752,5.01227053031203,"beta","both",753,4,-8501.43816776613,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"plus","hard",0.0090906848980538,0.720814404713897,8.21258518554796,3.56960188231752,0,"beta","alpha",753,3,-8507.52920641479,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"plus","hard",0.00923884830781343,3.22418217204184,8.93217317107396,0,5.01227053031203,"beta","beta",753,3,-8495.35546731065,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"plus","hard",0.00940426610861069,3.06525435439667,10.5038872998788,0,0,"beta","no",753,2,-8488.61665012126,"alpha",0.0771845540582884,0.0540224942013955,0.451732968307513,0.0014313448703499,0,1
11,"plus","medium",0.00940426610861069,3.06525435439667,10.5038872998788,0,0,"beta","no",753,2,-8488.61665012126,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"plus","medium",0.00908425214631795,1.37604993827641,9.0925795623514,3.56960188231752,5.01227053031203,"beta","both",753,4,-8501.43816776613,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"plus","medium",0.00923884830781343,3.22418217204184,8.93217317107396,0,5.01227053031203,"beta","beta",753,3,-8495.35546731065,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
11,"plus","medium",0.0090906848980538,0.720814404713897,8.21258518554796,3.56960188231752,0,"beta","alpha",753,3,-8507.52920641479,"alpha",0.0771845540582884,0.102338616222144,0.451732968307513,0.0014313448703499,0,1
12,"minus","easy",0.00912843847297445,0.866402655834496,8.20365728825989,1.58151913172727,5.48607279593886,"beta","both",753,4,-8497.78441116866,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"minus","easy",0.00917080319946155,0.886228506604067,9.94114210535764,1.58151913172727,0,"beta","alpha",753,3,-8500.92191705057,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"minus","easy",0.00928142028568497,6.66449491550575,6.24338985030938,0,5.48607279593886,"beta","beta",753,3,-8491.89366483874,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"minus","easy",0.00944968129027026,6.53110595337041,9.93588518042721,0,0,"beta","no",753,2,-8484.98900682646,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"minus","hard",0.00912843847297445,0.866402655834496,8.20365728825989,1.58151913172727,5.48607279593886,"beta","both",753,4,-8497.78441116866,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"minus","hard",0.00917080319946155,0.886228506604067,9.94114210535764,1.58151913172727,0,"beta","alpha",753,3,-8500.92191705057,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"minus","hard",0.00944968129027026,6.53110595337041,9.93588518042721,0,0,"beta","no",753,2,-8484.98900682646,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"minus","hard",0.00928142028568497,6.66449491550575,6.24338985030938,0,5.48607279593886,"beta","beta",753,3,-8491.89366483874,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"minus","medium",0.00912843847297445,0.866402655834496,8.20365728825989,1.58151913172727,5.48607279593886,"beta","both",753,4,-8497.78441116866,"alpha",0.0686545436716789,0.156759996061851,0.439962657488282,0.00167398246589543,0,1
12,"minus","medium",0.00917080319946155,0.886228506604067,9.94114210535764,1.58151913172727,0,"beta","alpha",753,3,-8500.92191705057,"alpha",0.0686545436716789,0.156759996061851,0.439962657488282,0.00167398246589543,0,1
12,"minus","medium",0.00944968129027026,6.53110595337041,9.93588518042721,0,0,"beta","no",753,2,-8484.98900682646,"alpha",0.0686545436716789,0.156759996061851,0.439962657488282,0.00167398246589543,0,1
12,"minus","medium",0.00928142028568497,6.66449491550575,6.24338985030938,0,5.48607279593886,"beta","beta",753,3,-8491.89366483874,"alpha",0.0686545436716789,0.156759996061851,0.439962657488282,0.00167398246589543,0,1
12,"plus","easy",0.00917080319946155,0.886228506604067,9.94114210535764,1.58151913172727,0,"beta","alpha",753,3,-8500.92191705057,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"plus","easy",0.00912843847297445,0.866402655834496,8.20365728825989,1.58151913172727,5.48607279593886,"beta","both",753,4,-8497.78441116866,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"plus","easy",0.00944968129027026,6.53110595337041,9.93588518042721,0,0,"beta","no",753,2,-8484.98900682646,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"plus","easy",0.00928142028568497,6.66449491550575,6.24338985030938,0,5.48607279593886,"beta","beta",753,3,-8491.89366483874,"alpha",0.0686545436716789,0.237053941162595,0.439962657488282,0.00167398246589543,0,1
12,"plus","hard",0.00944968129027026,6.53110595337041,9.93588518042721,0,0,"beta","no",753,2,-8484.98900682646,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"plus","hard",0.00912843847297445,0.866402655834496,8.20365728825989,1.58151913172727,5.48607279593886,"beta","both",753,4,-8497.78441116866,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"plus","hard",0.00928142028568497,6.66449491550575,6.24338985030938,0,5.48607279593886,"beta","beta",753,3,-8491.89366483874,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"plus","hard",0.00917080319946155,0.886228506604067,9.94114210535764,1.58151913172727,0,"beta","alpha",753,3,-8500.92191705057,"alpha",0.0686545436716789,0.111936223151198,0.439962657488282,0.00167398246589543,0,1
12,"plus","medium",0.00917080319946155,0.886228506604067,9.94114210535764,1.58151913172727,0,"beta","alpha",753,3,-8500.92191705057,"alpha",0.0686545436716789,0.156759996061851,0.439962657488282,0.00167398246589543,0,1
