"rt","resp","cor","evidence2","rt2","cj","RTconf","difflevel","manip","sub","switch","trial","condition","fb","evidence","withinphasetrial","phase_block"
0.484,1,1,0.149406196437631,0.887,0.920921699567657,0.403,"medium","alpha",1,0,77,"minus",0.806547775057998,0.149406196437631,77,"12"
0.641,-1,0,-0.0476505543509582,1.035,0.34564181000838,0.394,"hard","alpha",1,0,78,"minus",0.603851560876707,-0.0476505543509582,78,"13"
0.532,1,1,0.195235803730793,1.106,0.945795739501158,0.574,"hard","alpha",1,0,79,"minus",0.841681417571503,0.195235803730793,79,"13"
0.483,1,1,0.012053954659456,1.092,0.560451359533169,0.609,"medium","alpha",1,0,80,"minus",0.525930384626716,0.012053954659456,80,"13"
0.477,1,1,0.0756400504056796,1.291,0.742952460098494,0.814000000000001,"medium","alpha",1,0,81,"minus",0.645459906239706,0.0756400504056796,81,"13"
0.889,1,1,0.0849088047883413,1.51399999999999,0.748167536490256,0.624999999999988,"easy","alpha",1,0,82,"minus",0.650458714782351,0.0849088047883413,82,"13"
0.518,-1,0,-0.0891573257325956,1.163,0.234372338427909,0.645000000000001,"hard","alpha",1,0,83,"minus",0.677882975502484,-0.0891573257325956,83,"13"
0.844,1,1,0.101364720858143,1.451,0.791136012274219,0.606999999999995,"hard","alpha",1,0,84,"minus",0.68077716852502,0.101364720858143,84,"14"
0.57,-1,0,-0.0854578259353786,1.075,0.238414253653022,0.505,"hard","alpha",1,0,85,"minus",0.67738981467745,-0.0854578259353786,85,"14"
0.461,1,1,0.0696631857362357,1.104,0.748332998877786,0.643,"hard","alpha",1,0,86,"minus",0.644901993879108,0.0696631857362357,86,"14"
0.981,1,1,0.116843667720917,1.393,0.827107793439953,0.412,"medium","alpha",1,0,87,"minus",0.709093476661867,0.116843667720917,87,"14"
0.429,-1,0,0.0852423158716932,0.903,0.808226882995657,0.474,"medium","alpha",1,0,88,"minus",0.30845959797051,0.0852423158716932,88,"14"
0.578,1,1,0.0880363980613967,1.078,0.791419616209475,0.5,"easy","alpha",1,0,89,"minus",0.682030943367338,0.0880363980613967,89,"14"
0.453,-1,0,0.0161513792134762,0.842,0.581196018204627,0.389,"easy","alpha",1,0,90,"minus",0.460479119063746,0.0161513792134762,90,"15"
0.48,1,1,0.149500470372977,0.889,0.919399187010906,0.409,"hard","alpha",1,0,91,"minus",0.806437437093349,0.149500470372977,91,"15"
1.012,1,1,0.0477619872714876,1.75199999999996,0.640349546999134,0.739999999999962,"medium","alpha",1,0,92,"minus",0.58048278161606,0.0477619872714876,92,"15"
0.725,1,1,0.0741635992967614,1.296,0.734111156306103,0.571,"hard","alpha",1,0,93,"minus",0.642518608767847,0.0741635992967614,93,"15"
0.506,1,1,0.026495795161326,0.796,0.619864354787521,0.29,"medium","alpha",1,0,94,"minus",0.566424081698043,0.026495795161326,94,"15"
0.488,1,1,-0.03390231545896,0.965,0.382080323551941,0.477,"hard","alpha",1,0,95,"minus",0.422967504887056,-0.03390231545896,95,"15"
0.467,1,1,0.0505517254907194,1.17,0.676219976039231,0.703000000000001,"medium","alpha",1,0,96,"minus",0.603630161324089,0.0505517254907194,96,"16"
0.564,1,1,0.0193512913237785,1.419,0.56774954913944,0.854999999999999,"medium","alpha",1,0,97,"minus",0.536486070548417,0.0193512913237785,97,"16"
