"sub","condition","difflevel","cost_ldc","a0","b0","eta_a","eta_b","manip","model","Ndata_point","Npar","bic","bound","drift","ter","cost_ddm","z","vratio"
101,"plus","medium",0.00610372655487871,7.37193451853174,1.9207475564932,1.27127755480684,1.00000462133746,"alpha","both",753,4,-8800.86326074593,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
101,"plus","medium",0.00610372655462617,7.37195047601277,1.92070434571393,1.27127755480684,0,"alpha","alpha",753,3,-8807.48732600488,0.0729855975085697,0.126333936543238,0.374580890330205,0.00157465339135369,0,1
102,"minus","easy",0.0132514048840523,17.6335773620778,10.5973906142994,0,0,"alpha","no",753,2,-8230.38271857641,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"minus","easy",0.0130881638621957,16.0605735187589,-14.5164216952306,0,1.00000000003386,"alpha","beta",753,3,-8233.09229616254,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"minus","easy",0.0132514048841072,17.633668950099,10.5973451303238,1.41919044305614,0,"alpha","alpha",753,3,-8223.75865334548,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"minus","easy",0.01313283245199,15.6053326748636,-13.4876053894794,1.41919044305614,1.00000000003386,"alpha","both",753,4,-8223.9026929781,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"minus","hard",0.0130881638621957,16.0605735187589,-14.5164216952306,0,1.00000000003386,"alpha","beta",753,3,-8233.09229616254,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"minus","hard",0.01313283245199,15.6053326748636,-13.4876053894794,1.41919044305614,1.00000000003386,"alpha","both",753,4,-8223.9026929781,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"minus","hard",0.0132514048840523,17.6335773620778,10.5973906142994,0,0,"alpha","no",753,2,-8230.38271857641,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"minus","hard",0.0132514048841072,17.633668950099,10.5973451303238,1.41919044305614,0,"alpha","alpha",753,3,-8223.75865334548,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"minus","medium",0.0132514048840523,17.6335773620778,10.5973906142994,0,0,"alpha","no",753,2,-8230.38271857641,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"minus","medium",0.0130881638621957,16.0605735187589,-14.5164216952306,0,1.00000000003386,"alpha","beta",753,3,-8233.09229616254,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"minus","medium",0.0132514048841072,17.633668950099,10.5973451303238,1.41919044305614,0,"alpha","alpha",753,3,-8223.75865334548,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"minus","medium",0.01313283245199,15.6053326748636,-13.4876053894794,1.41919044305614,1.00000000003386,"alpha","both",753,4,-8223.9026929781,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"plus","easy",0.0130881638621957,16.0605735187589,-14.5164216952306,0,1.00000000003386,"alpha","beta",753,3,-8233.09229616254,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"plus","easy",0.0132514048840523,17.6335773620778,10.5973906142994,0,0,"alpha","no",753,2,-8230.38271857641,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"plus","easy",0.0132514048841072,17.633668950099,10.5973451303238,1.41919044305614,0,"alpha","alpha",753,3,-8223.75865334548,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"plus","easy",0.01313283245199,15.6053326748636,-13.4876053894794,1.41919044305614,1.00000000003386,"alpha","both",753,4,-8223.9026929781,0.0756281688203643,0.137199138711128,0.493600131101358,0.00120015274358227,0,1
102,"plus","hard",0.01313283245199,15.6053326748636,-13.4876053894794,1.41919044305614,1.00000000003386,"alpha","both",753,4,-8223.9026929781,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"plus","hard",0.0132514048840523,17.6335773620778,10.5973906142994,0,0,"alpha","no",753,2,-8230.38271857641,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"plus","hard",0.0130881638621957,16.0605735187589,-14.5164216952306,0,1.00000000003386,"alpha","beta",753,3,-8233.09229616254,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"plus","hard",0.0132514048841072,17.633668950099,10.5973451303238,1.41919044305614,0,"alpha","alpha",753,3,-8223.75865334548,0.0756281688203643,0.051580654495395,0.493600131101358,0.00120015274358227,0,1
102,"plus","medium",0.0130881638621957,16.0605735187589,-14.5164216952306,0,1.00000000003386,"alpha","beta",753,3,-8233.09229616254,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"plus","medium",0.0132514048840523,17.6335773620778,10.5973906142994,0,0,"alpha","no",753,2,-8230.38271857641,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"plus","medium",0.01313283245199,15.6053326748636,-13.4876053894794,1.41919044305614,1.00000000003386,"alpha","both",753,4,-8223.9026929781,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
102,"plus","medium",0.0132514048841072,17.633668950099,10.5973451303238,1.41919044305614,0,"alpha","alpha",753,3,-8223.75865334548,0.0756281688203643,0.104855439929918,0.493600131101358,0.00120015274358227,0,1
103,"minus","easy",0.00476353470031911,7.56408033285935,7.83102209439785,0,1.24110042465366,"alpha","beta",753,3,-8994.16319341955,0.0760547613772059,0.204569146341687,0.464681391888497,0.00113590789564187,0,1
103,"minus","easy",0.00479469895129808,7.59471359225477,8.51660532750186,0,0,"alpha","no",753,2,-8995.87698652009,0.0760547613772059,0.204569146341687,0.464681391888497,0.00113590789564187,0,1
103,"minus","easy",0.00468993884606953,7.44796628924044,8.21243970522975,1.00007546487821,1.24110042465366,"alpha","both",753,4,-8999.26366469951,0.0760547613772059,0.204569146341687,0.464681391888497,0.00113590789564187,0,1
