"cost_ldc","a0","b0","eta_a","eta_b","bound","drift","ter","cost_ddm","sub","difflevel","manip","model","z","vratio"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"113","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"115","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"116","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"117","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"120","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"121","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"122","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"124","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","easy",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","hard",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","medium",NA,"beta",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","easy",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","hard",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"125","medium",NA,"both",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","easy",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","hard",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","medium",NA,"no",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","easy",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","hard",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","medium",NA,"alpha",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,"126","easy",NA,"beta",NA,NA
